name|ingredients|url|image|cookTime|recipeYield|datePublished|prepTime|description|difficulty
Green Curry with Tofu|"Ingredients for chili paste:
2 green hot chilies (Thai chilies)
1 tablespoon chopped shallots
1 teaspoon chopped galangal 
1/2 teaspoon chopped kaffir lime rind
1 tablespoon chopped garlic
1 tablespoon chopped lemongrass
1 tablespoon chopped krachai
1/4 teaspoon roasted cumin seeds
1/4 teaspoon roasted coriander seeds
1/2 teaspoon salt
Other ingredients:
1 cup sliced eggplants
1/4 cup smaller pea-like eggplants (makheau phuang)
1/3 cup sliced onion
70 grams sliced chicken (or firm tofu)
1 teaspoon sugar
1 tablespoon fish sauce (or soy sauce for vegetarians)
3 kaffir lime leaves
2 stems sweet basil (horapaa)
1 cup coconut milk
1 cup water
(Again, chicken can be replaced tofu)"|http://www.101cookbooks.com/archives/000130.html|http://www.101cookbooks.com/mt-static/images/food/.jpg|0||2004-12-01|0|101 Cookbooks: Green Curry with Tofu Recipe|Unknown
Wild Mushroom Salad Recips|"150 g (5 oz) assorted wild mushrooms
2 tablespoons stock
pinch of salt
pinch of white sugar - optional
3 tablespoons lime juice (you might use less)
2 tablespoons fish sauce (for veg: substitute a splash of soy sauce)
large pinch of roasted chili powder
4 shallots, sliced
handful of mixed mint and coriander leaves
2 tablespoons shredded pak chii farang (long-leaf coriander)
1 tablespoon chopped spring (green) onion
1 tablespoon ground roasted rice
-a few sprigs of Thai basil
-sliced cabbage and cucumber"|http://www.101cookbooks.com/archives/000140.html|http://www.101cookbooks.com/mt-static/images/food/thaiwildmush.jpg|0||2005-02-01|0|101 Cookbooks: Wild Mushroom Salad Recipe|Unknown
Fresh Apple Salsa|"2 tart apples, locally grown if possible
4 tablespoons lime juice
1 fresh jalapeno chile
1 fresh Anaheim chile
1/2 medium onion, finely chopped
Handful of cilantro, roughly chopped
1/2 cup (2 ounces) walnuts, coarsely chopped and lightly toasted
2 tablespoons peeled and finely slivered fresh ginger
1/4 teaspoon salt"|http://www.101cookbooks.com/archives/000170.html|http://www.101cookbooks.com/mt-static/images/food/applesalsa.jpg|0|Serves 4 to 6.|2005-05-28|0|101 Cookbooks: From the Archives: Fresh Apple Salsa Recipe|Unknown
Pierce Street Vegetarian Chili Recipe|"2 tablespoons olive oil
1 large yellow onion, chopped
2 shallots, chopped
8 small/med garlic cloves, finely chopped
1 tablespoon ginger, peeled and grated
3 tablespoons chili powder
1 teaspoon ground cumin
1 serrano pepper, seeded and finely chopped
1 chipotle pepper (from can or rehydrate), minced
1 28-ounce can of crushed tomatoes
10  cups vegetable broth
1 1/2 cups cooked chickpeas (canned is fine)
2 1/4 cups black, brown, or green lentils (or combo), rinsed and picked over
2/3 cup pearled barley or pearled farro
2/3 cup bulgur wheat
1 teaspoon fine grain sea salt (or to taste)
toppings (opt): a bit of chopped serranos, a bit of feta or dollop of thinned out salted yogurt, a drizzle of equal parts chopped fresh oregano and olive oil, chopped onion"|http://www.101cookbooks.com/archives/pierce-street-vegetarian-chili-recipe.html|http://www.101cookbooks.com/mt-static/images/food/vegetarian_chili_recipe.jpg|0||2009-05-13|0|The best pot of chili I've made in years. A vegetarian chili recipe Inspired by a bunch of those little bags of remnant grains and pulses that collect in my cupboards - bulgur, farro, and lentils, join chile peppers, crushed tomatoes, some chickpeas, and a secret ingredient.|Unknown
Vegetarian Tortilla Soup Recipe|"6-8 corn tortillas, cut in half and then into  matchstick-thin strips
a big splash of extra virgin olive oil
fine grain sea salt
20 small yellow or red cherry tomatoes
another splash of extra virgin olive oil
3 cloves garlic, chopped
1 large white onion, chopped
1 teaspoon ground cumin
2 teaspoons ground coriander
1 teaspoon cayenne or other spicy red chili powder
1 14-ounce can crushed tomatoes
6 cups vegetable broth (or water)
a few sun-dried tomatoes, chopped
1/4 cup of goat cheese, crumbled"|http://www.101cookbooks.com/archives/vegetarian-tortilla-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/tortilla_soup_recipe.jpg|0|Makes about 6 servings.|2008-06-19|0|My tortilla soup recipe - a full-bodied, spicy vegetarian broth envelops a nest of baked tortilla matchsticks. Tiny roasted tomatoes along with a bit of goat cheese lend tang and texture, and flecks of sun-dried tomatoes bring depth and richness to each bowl.|Unknown
Bourbon Baked Sweet Potatoes|"5-6 chubby, red-fleshed sweet potatoes
Splash of extra-virgin olive oil
Salt and pepper
1-inch square of ginger, peeled and grated
2 generous pinches of ground cinnamon or canela
1 generous pinch of ground cloves
Zest of one lemon (orange zest would be good too)
3T unsalted butter, melted and cooled a bit
1/4 cup maple syrup
Splash of milk (2T. or so)
Splash of bourbon (2T. or so)
1/4 freshly grated Parmesan (not from the plastic container!)
Spicy Pecans (recipe below)
1 tablespoon unsalted butter
2 cups pecans
1/3 cup brown sugar
1 teaspoon paprika
1 teaspoon red chile powder
3 tablespoons cider vinegar"|http://www.101cookbooks.com/archives/000129.html|http://www.101cookbooks.com/mt-static/images/food/bourbonsweet2.jpg|0||2004-11-26|0|101 Cookbooks: Bourbon Baked Sweet Potatoes Recipe|Unknown
Roasted Cauliflower Recipe|"4-inch segment of a thin day-old baguette
1 medium head of cauliflower, washed
extra-virgin olive oil
scant 1/2 teaspoon salt
2 cloves garlic, minced
1 fresh red chile pepper, minced"|http://www.101cookbooks.com/archives/001533.html|http://www.101cookbooks.com/mt-static/images/food/roastedcauliflower.jpg|0|Serves 4. |2006-11-29|0|Oven-roasted cauliflower florets with breadcrumbs, garlic, red chile pepper, salt and olive oil.|Unknown
Sweet Potato Pot Pie Recipe|"3 tablespoons extra-virgin olive oil  
1 medium white or yellow onion, chopped  
3 cloves garlic, chopped  
2 1/2 to 3 cups sweet potatoes, peeled and diced into  1/4-inch pieces  
1/2 teaspoon salt (plus more to taste)  
1 tablespoon adobo sauce from a can of chipotle chilies (or more to taste)  
1 cup corn kernels, fresh or frozen  
2 cups cold whole or low-fat milk  
2 tablespoons cornstarch  
1 box puff pastry dough (allow 20 to 30 minutes to thaw)  
1 egg white"|http://www.101cookbooks.com/archives/000127.html|http://www.101cookbooks.com/mt-static/images/food/potpies1.jpg|0||2004-11-15|0|A recipe from my first book that was featured in the Washington post - sweet potatoes, chipotle, corn, onions, and puff pastry.|Unknown
Slurp-tastic Herb Noodles Recipe|"4 ounces thin, dried spinach pasta  (thin)
1 cup coconut milk (light is fine)
scant 1 tablespoon green or yellow curry paste
1 1/2 cups lightly flavored vegetable broth
~1/4 teaspoon salt (more or less depending on the saltiness of your broth)
6 ounces tofu, cut into small cubes or pieces
1/4 cup chives, minced
1/3 cup cilantro, chopped
1/4 cup basil, chopped just before using
pinch of crushed red chile peppers"|http://www.101cookbooks.com/archives/slurptastic-herb-noodles-recipe.html|http://www.101cookbooks.com/mt-static/images/food/herb_noodles.jpg|0|Serves 2 to 4.|2008-09-30|0|A big, slurpy bowl of whisper-thin spinach noodles draped in a spicy curry and herb broth - inspired by a beautiful box of noodles I picked up in Mill Valley, Ca.|Unknown
Pappardelle with Spiced Butter|"1/4 teaspoon saffron threads
pinch of salt
1 stick / 4 oz / 100 g butter
2 tablespoons extra virgin olive oil
6 medium shallots, chopped
1/2 teaspoon ground ginger
1/2 teaspoon sweet paprika
1/2 teaspoon ground coriander
1/2 teaspoon ground cinnamon
scant 1/2 teaspoon cayenne pepper
1/4 teaspoon red chile flakes
1/4 teaspoon ground turmeric
1/4 teaspoon+ fine grain sea salt
black pepper
1/2 pound / 8 oz / 225 g dried pappardelle egg pasta 
1/2 pound / 8 oz / 225 g asparagus, sliced into 1/4-inch rounds
splash of cream
1/2 cup / 2 oz / 60 g pine nuts, toasted and chopped
2 tablespoons roughly chopped mint
2 tablespoons roughly chopped parsley"|http://www.101cookbooks.com/archives/pappardelle-with-spiced-butter-recipe.html|http://www.101cookbooks.com/mt-static/images/food/spiced_pappardelle_recipe.jpg|10||2010-05-18|20|A recap of my Sunday, including a few portraits I shot, plus a top-notch pasta with spiced butter and asparagus inspired by a recipe from Yotam Ottolenghi's new book.|Medium
A Good Soup for the Sick|"1 pound cranberry beans (like Borlotti)
8 cups of water
15 medium cloves of garlic, peeled and trimmed
2 big shallots (I might have used a white onion but didn't have one), sliced on the axis into thin crescents
2-3 dried smoked chiles (I used smoked serranos) but I suspect dried chipotles or even one or two chipotles from the can (in adobo sauce) would work nicely
2 teaspoons+  fine sea salt for seasoning
a drizzle of flavorful extra-virgin olive oil
a small handful of cilantro, chopped
a couple (optional) handfuls of a salty hard cheese, Parmesan, grated (I think my mystery cheese was actually Three Sisters Serena)"|http://www.101cookbooks.com/archives/001397.html|http://www.101cookbooks.com/mt-static/images/food/soup_for_when_sick.jpg|0|Serves 4 to 6|2006-04-21|0|"Turn to this miraculously delicious soup when you are feeling sick - beans, water, garlic, shallots, chiles. Total active prep time was under five minutes, the rest is just waiting and anticipating.
"|Unknown
Palak Daal|"1 cup / 6.5 oz / 185 g white urid or urad daal, picked over and rinsed
6 cups / 1.5 liters water, plus more if necessary
1/2 pound spinach, washed and finely chopped
1 tablespoon ginger, peeled and finely chopped
1/2 teaspoon turmeric
2 medium green chile peppers, minced
2 tomatoes, chopped
1/2 teaspoon salt
2 tablespoons butter
1/2 teaspoon cumin seeds
1 teaspoon pure red chile powder
a pinch of asafetida, optional
more salt to taste
juice of 1/2 a lemon
1/4 cup cilantro, chopped"|http://www.101cookbooks.com/archives/palak-daal-recipe.html|http://www.101cookbooks.com/mt-static/images/food/palak_daal_recipe.jpg|120||2010-01-30|20|A palak daal recipe from Kasa's Anamika Khanna - a hearty pot of spinach, lentils, and spices. Kasa is a favorite Indian restaurant of mine here in San Francisco.|Hard
Salsa of the Year|"3 T. vegetable oil 
1 ounce dried mirasol (milder) or smoked serrano (more heat) chilies
garlic, 12 small to medium cloves - peeled
Another 3 T. vegetable oil
1 1/4 cups vegetable broth
- Stir in 1/3 cup cream (or to taste) - for a slightly creamy sauce that will add a bit of kick to a wide range of recipes. (this is the sauce you see in the pictures on this post). Drizzle on savory crepes, egg dishes, casseroles, etc.
- Stir a couple tablespoons into light or vegan mayo for a spicy sandwich spread.
- Spread on panini: with all sorts of fixings."|http://www.101cookbooks.com/archives/000325.html|http://www.101cookbooks.com/mt-static/images/food/soty1.jpg|0|Makes about 1 cup.|2005-08-21|0|Smoky and creamy, this salsa recipe is best drizzled over eggs, quesadilla, and crepes.|Unknown
My Favorite Grilled Kabob Recipe|"Muhammara Slather:
1 tablespoon crushed red pepper
flakes or 1 small red chile
1/2 teaspoon ground cumin
3/4 cup walnuts, toasted
1/4 cup whole-grain  bread crumbs
1/4 cup extra-virgin olive oil
2 tablespoons pomegranate molasses
1/4 cup tomato paste
2 to 3 roasted red peppers
1/2 to 1 cup warm water
1/2 teaspoon fine-grain sea salt
Kabobs
2 red onions, each cut into 6 wedges
3 lemons, each cut into 4 lengthwise wedges
12 ounces extra-firm tofu, cut into 12 equal-sized cubes
12 mushrooms
extra-virgin olive oil, for brushing
fine-grain sea salt
Special equipment: 6 wooden skewers"|http://www.101cookbooks.com/archives/my-favorite-grilled-kabob-recipe.html|http://www.101cookbooks.com/mt-static/images/food/grilledkabobsrecipe.jpg|0|Makes 6 kabobs.|2007-06-27|0|A kabob recipe featuring grilled mushrooms, lemons, tofu red onions and a delicious red pepper walnut slather.|Unknown
Red Posole Recipe|"1 pound / 16 oz / 453g dried ready-to-cook posole / hominy (see head notes)
1 small white onion, diced
3 medium garlic cloves, peeled and smashed
3 dried red New Mexican chile peppers, stems removed (see head notes)
1 teaspoon dried Mexican oregano
Red Sauce:
2 tablespoons extra-virgin olive oil
2 tablespoons finely diced white onion
2 medium cloves garlic, finely chopped
1 teaspoon dried oregano
2 tablespoons flour
1/2 teaspoon ground cumin
1/2 cup / 2 oz / 50g ground red chile (see head notes)
1/2 teaspoon fine grain sea salt
a quarter of one lime"|http://www.101cookbooks.com/archives/red-posole-recipe.html|http://www.101cookbooks.com/mt-static/images/food/red_posole_recipe.jpg|20||2009-12-24|240|A big pot of red posole made on a stormy day. A brick-red brothy sauce surrounds the posole, and individual bowls are topped with thin wisps of pan-fried tortillas, a pinch of toasted Mexican oregano, and a bit of crumbled feta.|Hard
Sunchoke and Cashew Stir-fry|"1 teaspoon peanut or sunflower oil
1 egg, beaten
1 tablespoon peanut or sunflower oil, plus more if needed
1 tablespoon minced ginger
2 cloves minced garlic
3 medium shallots, chopped
1/2 serrano chile pepper, deveined and minced
1 cup very thinly sliced sunchokes, well scrubbed
Kernels from 2 ears of corn
1 1/2 - 2 cups day-old, cooked brown rice
1 egg, beaten (optional)
1 tablespoon soy sauce, plus more to taste
1/3 cup toasted almond slices
1/2 cup toasted cashews
fine grain sea salt and pepper, to taste
plenty of chopped fresh basil"|http://www.101cookbooks.com/archives/sunchoke-and-cashew-stirfry-recipe.html|http://www.101cookbooks.com/mt-static/images/food/sunchoke_cashew_stirfry_recipe.jpg|3|Serves 2-3 as a main course, more as part of a larger multi-course meal.|2012-07-12|10|A beautiful fried rice made with brown rice, egg, sunchokes, cashews, and basil when Grace Young came over for lunch last week.|Easy
Baked Carrot Oven Fries|"a big bunch of farmers' market carrots, washed, trimmed
extra virgin olive oil
sea salt
4 ounces organic tofu
1/4 cup orange juice
quick squeeze of lime
scant 1 teaspoon adobo sauce from a can of chipotle chiles
1/2 teaspoon fine grain sea salt"|http://www.101cookbooks.com/archives/001529.html|http://www.101cookbooks.com/mt-static/images/food/bakedcarrotfries1.jpg|0||2006-11-20|0|"Made from carrots, this is a healthy, simple and delicious alternative to deep-fried potatoes. These baked oven fries (made from carrots) are simply roasted with olive oil and a sprinkling of sea salt. 
"|Unknown
Fourth of July Roasted Tomato Salsa Recipe|"2 pounds Roma tomatoes, cut in half lengthwise
1 medium white onion, cut into six wedges
1 large garlic clove, halved
a couple pinches of finely ground sea salt
2-3 tablespoons of extra-virgin olive oil
1 medium dried guajillo chile pepper, soaked in boiling water until softened, and then drained
1 -2 chipotles in adobo sauce (canned)
1/2 cup cilantro, roughly chopped"|http://www.101cookbooks.com/archives/fourth-of-july-roasted-tomato-salsa-recipe.html|http://www.101cookbooks.com/mt-static/images/food/salsarecipe_07.jpg|0|Makes about 2 1/2 cups.|2007-07-01|0|A deliciously vibrant, earthy, and slightly smoky-tasting salsa recipe. Different from salsa fresca, the deep, caramelized flavors of the roasted tomatoes and onions alongside the smokiness of the chipotles make for a richly beautiful and balanced salsa. |Unknown
Sunburst Carrot Salad Recipe|"2 bunches carrots, preferably spring carrots
extra virgin olive oil
fine grain sea salt
1 green chile (serrano), deveined and minced
1 lemon, zest and juice
1 cup cilantro, chopped
1 cup green pumpkin seeds (pepitas), toasted"|http://www.101cookbooks.com/archives/sunburst-carrot-salad-recipe.html|http://www.101cookbooks.com/mt-static/images/food/carrot_salad_recipe_08.jpg|0|Serves 4 to 6.|2008-04-03|0|A favorite carrot salad recipe - carrot ribbons sauteed in a bit of salt and olive oil and finished off with lemon zest, finely chopped serrano chiles, a quick squeeze of lemon juice, and lots of cilantro.  |Unknown
In a Hurry Green Curry Recipe|"2 teaspoons green curry paste*
scant 1/2  teaspoon salt
1 14-ounce can coconut milk (light ok)
1 large onion, sliced
14 ounces water or light vegetable broth
6 ounces of firm tofu cut into 1/2 inch cubes
1 cup peas, fresh or frozen
2 cups asparagus, cut into 1/2-inch segments
squeeze of fresh lime juice
1/4 cup small basil leaves
2 green hot chilies (Thai chilies)
1 tablespoon chopped garlic
1 tablespoon chopped shallots
1 teaspoon chopped galangal
1/2 teaspoon chopped kaffir lime rind
1 tablespoon chopped lemongrass
1 tablespoon chopped krachai
1/4 teaspoon roasted cumin seeds
1/4 teaspoon roasted coriander seeds
1/2 teaspoon salt"|http://www.101cookbooks.com/archives/in-a-hurry-green-curry-recipe.html|http://www.101cookbooks.com/mt-static/images/food/light_greencurry_recipe.jpg|0|Serves 4.|2008-05-15|0|A quick and delicious green curry recipe - peas, asparagus, and tofu swimming in a fragrant, not-overly-rich Thai green chile broth.|Unknown
Pepita Salad Recipe|"1 cup pepitas, toasted (divided)
1 cup cilantro leaves and stems, well washed and lightly packed
1/3 cup Parmesan cheese, freshly grated
3 medium cloves garlic, peeled
juice of 1 medium lemon
1 serrano chile pepper, minced
2/3 cup extra-virgin olive oil
4 cups cooked yellow split peas*
2 handfuls lettuce, torn into bite-sized pieces"|http://www.101cookbooks.com/archives/pepita-salad-recipe.html|http://www.101cookbooks.com/mt-static/images/food/pepita_salad_recipe.jpg|0|Serves 6 or so.|2008-10-20|0|A great pepita salad that can brighten up any table. Made from a simple combination of yellow split peas, toasted pepitas, and cilantro pesto.|Unknown
Lentil Almond Stir-Fry Recipe|"Mint sauce (optional)
1 cup fresh mint leaves
1/2 serrano chile pepper, de-veined and seeded
2 tablespoons olive oil
pinch of salt
a touch of sugar, or honey, or agave nectar
1 tablespoon lemon juice
extra-virgin olive oil
6 to 8 very small new potatoes, cut into 1/2 pieces
2 cups cooked brown or black lentils
12 brussels sprouts, trimmed and quartered
1/4 cup sliced almonds, toasted
1/3 cup plain Greek yogurt, thinned out with a bit of water, and salted with a pinch of salt
2 dates, pitted and chopped"|http://www.101cookbooks.com/archives/lentil-almond-stirfry-recipe.html|http://www.101cookbooks.com/mt-static/images/food/lentil_almond_stirfry.jpg|0|Serves 2-3.|2009-01-03|0|A good cold-weather stir-fry recipe. Tiny potatoes, brussels sprout wedges, toasted almonds and lentils are served with a drizzle of mint and a bit of thinned-out, salted plain yogurt, and a sprinkling of chopped dates.|Unknown
Carrot Soup Recipe|"1 1/4 pounds carrots
1 tablespoon extra-virgin olive oil (or clarified butter)
2 medium cloves garlic, minced
1 large yellow onion, chopped
3 cups+ vegetable stock or water
juice of 1/2 a lemon
fine grain sea salt (as much as you need)
- olive oil, toasted sesame oil, or red chile oil for a finishing drizzle - if you use toasted sesame oil (sometimes labeled pure sesame oil) it is very strong. I typically dilute it with olive oil. I use one part sesame oil to four parts olive oil."|http://www.101cookbooks.com/archives/carrot-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/carrot_soup_recipe.jpg|0|Serves about 4.|2009-04-08|0|A simple, weeknight carrot soup recipe finished with a thread of toasted sesame oil. You can leave it slightly chunky, or puree it until smooth - whatever your preference.|Unknown
Green Curry Broth|"1 tablespoon coriander seeds
1 1/2 teaspoon whole cumin seeds
2 tablespoons coconut oil, clarified butter, or olive oil
4 shallots, thinly sliced
4 medium garlic cloves, finely chopped
4 small serrano chile peppers, thinly sliced (see head notes)
3 lemongrass stalks, minced (see head notes!)
a 1 1/2-inch piece of ginger, peeled then grated
8 green onions, trimmed, thinly sliced
1/8 teaspoon turmeric powder
1/4 cup / 60 ml freshly squeezed lime juice &amp; a bit of zest
6 - 7 cups / 1.5 liters / 1.5 quarts good-tasting vegetable broth
12 ounces / 340 g tofu, cut into tiny cubes 
OR 
6 oz tofu cubes + 6 oz yuba skins, cut into thin strips
kernels from 2 ears of corn
4 handfuls of torn spinach, stems trimmed
a small handful of each of the following: fresh mint, fresh cilantro, fresh basil, all chopped just before serving and combined in a small bowl"|http://www.101cookbooks.com/archives/green-curry-broth-recipe.html|http://www.101cookbooks.com/mt-static/images/food/green_curry_broth_recipe.jpg|15|Serves 4.|2010-08-24|20|A beautiful, thin green curry broth, fragrant with garlic, lemongrass, and ginger. It gets heat from serrano chiles, and zings of tanginess from fresh lime juice. Cumin and coriander seeds keep things grounded, and a flurry of freshly chopped herbs make the sky open up.|Medium
Zucchini Pickles|"3 medium zucchini (1 pound / 16 oz / 450 g), thinly sliced 
1 medium white onion, thinly sliced 
3 shallots, thinly sliced
 1 1/2 tablespoons fine grain sea salt
 1/4 cup (small handful) fresh dill sprigs
1 small fresh red chile pepper, very thinly sliced
1/2 tablespoon yellow mustard seeds
 3/4 cup / 180 ml cider vinegar 
3/4 cup / 180 ml white wine vinegar 
1/3 cup / 1.75 oz / 50g natural cane sugar"|http://www.101cookbooks.com/archives/quick-pickled-zucchini-recipe.html|http://www.101cookbooks.com/mt-static/images/food/pickled_zucchini_recipe.jpg|5|Makes one large jar.|2010-09-08|120|I've been making these coin-shaped zucchini pickles all summer. They're quick to make, great to have on hand, and I don't bother canning them. Delicious on crusty, goat-cheese slathered grilled bread (or just about anything cheesy or crunchy) and simple salads.|Hard
New Year Noodle Soup|"2 tablespoons olive oil
1 onion, thinly sliced
1 long red chili OR green serrano, finely chopped
1/2 teaspoon ground turmeric
1 teaspoon ground cumin
1/4 teaspoon freshly ground black pepper
8 1/2 cups / 2 liters good-tasting vegetable stock/broth
100g / 3.5 oz yellow split peas or brown lentils
1 1/2 cups cooked chickpeas, rinsed if using canned
2 cups / 350g cooked borlotti beans
fine grain sea salt
120 g thin egg noodles, fresh or dried
3 1/2 oz / 100g fresh spinach leaves, finely shredded
1/2 cup finely shredded cilantro leaves
2 tablespoons chopped fresh dill
juice of one lime
Toppings:
1 tablespoon olive oil
1 tablespoon unsalted butter
1 large onion, thinly sliced
100 ml sour cream or creme fraiche
50g / scant 2 ounces of toasted, chopped walnuts"|http://www.101cookbooks.com/archives/new-year-noodle-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/newyear_noodle_soup_recipe_xl.jpg|40||2011-01-01|20|An amazing New Year Noodle Soup from Greg &amp; Lucy Malouf's beautiful book, Saraban. It's a bean and noodle soup at its core featuring thin egg noodles swimming in a fragrant broth spiced with turmeric, cumin, chiles, and black pepper. You use a medley of lentils, chickpeas, and borlotti beans which makes the soup heart and filling without being heavy. You add spinach, dill, and cilantro. You add lime juice for a bit of sour at the end. And then you've got a number of toppings to add when you serve the soup - chopped walnuts, caramelized onions, and sour cream. Amazing.|Medium
Moroccan Mint Roasted Vegetables|"1 lb / 16 oz / 450 g mix of potatoes, cauliflower, and a few radishes (save the tops)
1 1/2 teaspoons dried mint
1/2 teaspoon red chile pepper flakes
1/2 teaspoon cumin seeds
1/2 teaspoon fine grain sea salt
1 teaspoon ground cumin
1/2 teaspoon cinnamon
1 teaspoon ground ginger
4 tablespoons extra virgin olive oil
a squeeze of fresh lemon juice
toppings: fresh mint, toasted sesame and/or pumpkin seeds, plain yogurt (seasoned with a bit of salt)"|http://www.101cookbooks.com/archives/moroccan-mint-roasted-vegetables-recipe.html|http://www.101cookbooks.com/mt-static/images/food/moroccan_vegetables.jpg|15|Serves 4.|2012-02-22|5|A few snapshots from my week in Marrakesh, Morocco + the recipe for a platter of roasted vegetables spiced with dried mint, cumin, ginger, cinnamon, and a kiss of chile. So good with a dollop of salted yogurt and a sprinkle of toasted sesame seeds.|Easy
A Simple Tomato Soup|"4 tablespoons unsalted butter, olive oil, or coconut oil
2 medium yellow onions, thinly sliced
1 teaspoon fine grain sea salt, plus more to taste
3 teaspoons curry powder
1 teaspoon ground coriander
1 teaspoon ground cumin
1/2 teaspoon chile flakes
2 (28-ounce) cans whole tomatoes (pref. fire-roasted)
1 14-ounce can coconut milk
to serve: any of the following that sound good to you - cooked brown rice, lemon wedges, toasted almond slices, pan-fried paneer, fresh thyme or oregano, oregano drizzle, a poached egg"|http://www.101cookbooks.com/archives/a-simple-tomato-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/brothy_tomato_soup_recipe.jpg|25||2012-03-06|5|A simple tomato soup recipe inspired by a Melissa Clark recipe - pureed, warmly spiced, and perfect topped with everything from toasted almonds and herbs, to coconut cream or a poached egg.|Medium
Broccolini Salad|"1 lb / 16 oz / 450 g  baby broccoli / broccolini, trimmed, and each stalk halved if you like
3 bunches scallions, trimmed and thinly sliced
1 small serrano chile pepper, deveined, seeded and minced (opt)
1/2 cup / 120 ml extra virgin olive oil
fine grain sea salt
3 big handfuls of big, rustic croutons
a squeeze of fresh lemon juice.
1 cup / 4 oz / 115 g sliced almonds, toasted
4 - 6 oz fresh mozzarella cheese, torn into big chunks"|http://www.101cookbooks.com/archives/broccolini-salad-recipe.html|http://www.101cookbooks.com/mt-static/images/food/broccolini_salad_recipe.jpg|10|Serves 4 - 6.|2012-04-05|10|Big bowl of green - broccolini tossed with big croutons, tons of scallion slices, mozzarella, toasted almonds, and a hit of serrano pepper.|Easy
Brazil Nut Butter Cups Recipe|"1 1/2 cups Brazil nuts, loosely chopped
1 teaspoon macadamia nut oil (optional)
2/3 cup organic powdered sugar (I use Wholesome Sweeteners brand)
~1/2 teaspoon finely ground sea salt
a couple pinches of chile powder (opt)
1 9.7-ounce bar of Scharffen Berger bittersweet chocolate, finely chopped
Special equipment: chocolate molds, piping bag."|http://www.101cookbooks.com/archives/001371.html|http://www.101cookbooks.com/mt-static/images/food/brazilnutbuttercups1.jpg|0||2006-03-18|0|A twist on the traditional peanut butter cup. It uses all-natural ingredients and instead of peanut butterthe chocolate shell envelopes Brazil nut butter.|Unknown
Baked Egg Recipe|"2-3 tablespoons extra virgin olive oil
3 big pinches ground cumin
2 big pinches chili flakes
2 big pinches smoked paprika
2 big pinches fine sea salt
1 cup spring (or regular) onion, chopped
1 clove garlic, chopped
1 cup cherry tomatoes, halved or quartered
2 pieces of pita bread, cut into quarters
6 large organic eggs
Garnish: finely chopped tomatoes, chile flakes, cilantro (optional)
Special equipment: standard 12 muffin tin"|http://www.101cookbooks.com/archives/baked-eggs-recipe.html|http://www.101cookbooks.com/mt-static/images/food/bakedeggrecipe_07.jpg|0|Makes six egg cups.|2007-05-18|0|Baked eggs in edible cups with cherry tomatoes, garlic, olive oil and  lots of vibrant spices.|Unknown
A Tasty Frittata Recipe|"Cilantro Chile Sauce
2 large cloves garlic
1/2 cup extra virgin olive oil
2 tablespoons lemon juice, freshly squeezed
1 small bunch cilantro
1 green (serrano) chile, seeds removed
2 pinches ground cumin
 a couple big pinches of salt 
Frittata
6 large organic eggs
1 tablespoon olive oil
1 small yellow onion, chopped
3 small potatoes, very very thinly sliced
1/2 cup yellow zucchini or cauliflower,1/2-inch pieces
1/4 cup goat cheese, crumbled
1/4 cup pumpkin seeds, toasted 
couple pinches of salt"|http://www.101cookbooks.com/archives/a-tasty-frittata-recipe.html|http://www.101cookbooks.com/mt-static/images/food/frittatarecipe_07.jpg|0|Serves 2 to 4.|2007-12-20|0|The prettiest, tastiest, frittata recipe. Made with potatoes, onions, and eggs drizzled with a cilantro chile sauce. |Unknown
Spiced Candied Walnuts Recipe|"Peanut or canola oil for deep-frying (hs note: has anyone seen an organic peanut oil out there?)
Finely ground sea salt, preferably gray salt 
Freshly ground black pepper 
1/2 teaspoon ground cinnamon 
1/2 teaspoon cayenne pepper 
4 cups walnut halves 
1 cup confectioners' sugar, sifted
2 cans (15 1/2 ounces each) chickpeas (garbanzo beans) 
3/4 cup buttermilk
3/4 cup olive oil
1 1/2 cups 1Arborio Rice Coating (below)
1/4 cup thinly sliced garlic 
15 fresh sage leaves
2 teaspoons thin serrano chili slices (optional) 
Finely ground sea salt, preferably gray salt 
Zest of 1 lemon, cut into julienne 
Freshly ground black pepper
1 cup Arborio rice 
3 cups unbleached all-purpose flour 
1 cup semolina flour 
2 tablespoons finely ground sea salt, preferably gray salt 
1 teaspoon freshly ground black pepper "|http://www.101cookbooks.com/archives/001033.html|http://www.101cookbooks.com/mt-static/images/food/candiedwalnutrecipe.jpg|0|Makes 4 cups.Makes about 5 cups.|2005-12-30|0|This candied walnut recipe was is the perfect solution to a New Years Eve hors d'oeuvres dilemma. Made with walnuts, sea salt, black pepper, cinnamon, cayenne pepper, and powdered sugar.|Unknown
